title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Molecular-level Insight into Unusual Low Pressure CO2 Affinity in Pillared Metal–Organic Frameworks,"NC Burtch, H Jasuja, D Dubbeldam…",2013,137,"… of nonpolar functional groups on the benzene dicarboxylate (… , and minimum energy 0 K binding sites for CO 2 , we … X signifies the functional group that was placed on the BDC ligand. …",vAAqIwC2i3sJ,"NC Burtch, H Jasuja, D Dubbeldam… - Journal of the American …, 2013 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/ja310770c,unknown,unknown
Functional Group Modification of Metal–Organic Frameworks for CO2 Capture,"Z Xiang, S Leng, D Cao",2012,103,"… formation of longer ligands in the frameworks, which reconfirms … aromatic amino and carboxyl groups on CO 2 capture at low … that the binding energy at site γ (“on top” of imino group) is …",vHk8W2AgJ4MJ,"Z Xiang, S Leng, D Cao - The Journal of Physical Chemistry C, 2012 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/jp3018875,unknown,unknown
Impact of ligands on CO2 adsorption in metal-organic frameworks: First principles study of the interaction of CO2 with functionalized benzenes. II. Effect of …,"A Torrisi, C Mellot-Draznieks, RG Bell",2010,220,… CO 2 -ligand binding energy (BE) up to − 8.5 kJ mol − 1 ⁠. The pumping of electronic charge into the delocalized π orbitals of the aromatic ring … functional groups in the context of ligand …,2gVmBArpSgIJ,"A Torrisi, C Mellot-Draznieks, RG Bell - The Journal of chemical …, 2010 - pubs.aip.org",[],https://pubs.aip.org/aip/jcp/article/132/4/044705/189613,unknown,unknown
Tuning the interaction strength and the adsorption of CO2 in metal organic frameworks by functionalization of the organic linkers,"MG Frysali, E Klontzas, E Tylianakis…",2016,35,"… functional groups were tested for their ability to capture CO 2 … in MOF are based on aromatic rings, the simplest model that … binding energy was found for the OSO 3 H functional group, …",Ofz5D8dTfPgJ,"MG Frysali, E Klontzas, E Tylianakis… - … and Mesoporous Materials, 2016 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1387181116300208,unknown,unknown
The effect of methyl functionalization on microporous metal‐organic frameworks' capacity and binding energy for carbon dioxide adsorption,"H Liu, Y Zhao, Z Zhang, N Nijem…",2011,133,"… [9] groups, which have been extensively utilized in ligand … group has seldom been considered a real functional group, due … In this case, there are more benzene rings in the NDC ligand …",hK37ivtyBUQJ,"H Liu, Y Zhao, Z Zhang, N Nijem… - Advanced Functional …, 2011 - Wiley Online Library",[],https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201101479,unknown,unknown
Ligand-Assisted Enhancement of CO2 Capture in Metal–Organic Frameworks,"R Poloni, B Smit, JB Neaton",2012,113,"… To further explore the role of ligands on CO 2 adsorption, we … the interaction energy is reduced compared to the BTT ligand (… -benzene complex. The Journal of Chemical Physics 2014, …",YXYXIZiIkyAJ,"R Poloni, B Smit, JB Neaton - Journal of the American Chemical …, 2012 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/ja2118943,unknown,unknown
… CO2 adsorption in metal-organic frameworks: First principles study of the interaction of CO2 with functionalized benzenes. I. Inductive effects on the aromatic …,"A Torrisi, C Mellot-Draznieks, RG Bell",2009,172,… Prediction of minimum energy geometries and BEs was … the different CO 2 affinities found among the various ligands and … of functional groups which are substituted onto the aromatic …,OnJzIZoTEnoJ,"A Torrisi, C Mellot-Draznieks, RG Bell - The Journal of chemical …, 2009 - pubs.aip.org",[],https://pubs.aip.org/aip/jcp/article/130/19/194703/296424,unknown,unknown
Analysis and refinement of host–guest interactions in metal–organic frameworks,"Y Chen, W Lu, M Schröder…",2023,137,"… issues such as climate change, energy challenges, and pollution. … The influence of various functional groups on the adsorption … Functional groups used for ligand decoration range from …",GUcQRUFApYoJ,"Y Chen, W Lu, M Schröder… - Accounts of chemical …, 2023 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC10552526/,unknown,unknown
Enhancing CO2 adsorption and separation ability of Zr (IV)-based metal–organic frameworks through ligand functionalization under the guidance of the quantitative …,"H Huang, W Zhang, F Yang, B Wang, Q Yang…",2016,96,"… ) and functional groups in ligands can significantly affect CO 2 … As a result, the increase of the adsorption enthalpy for CO 2 … –carbon bonds in benzene ring, causing thermal breakdown …",ANUtYeBlYPUJ,"H Huang, W Zhang, F Yang, B Wang, Q Yang… - Chemical Engineering …, 2016 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1385894715017726,unknown,unknown
Modulating adsorption and stability properties in pillared metal–organic frameworks: A model system for understanding ligand effects,"NC Burtch, KS Walton",2015,120,… We also discuss how functional groups can affect adsorbate … functional theory calculations on isolated benzene rings also … averaged free energy of an isolated CO2 molecule within the …,v2jQ741utX8J,"NC Burtch, KS Walton - Accounts of Chemical Research, 2015 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.accounts.5b00311,unknown,unknown
